timestamp,day_since_first,fish_id,estimated_length_cm,estimated_weight_g,growth_rate_cm_day,growth_stage,size_index,recommended_feed_g,life_status,data_source,note,phase,observed_error_cm,observed_lower_cm,observed_upper_cm,vbgf_predicted_length_cm,vbgf_prediction_error_cm,vbgf_prediction_lower_cm,vbgf_prediction_upper_cm,comet_reference_length_cm,comet_reference_lower_cm,comet_reference_upper_cm,vbgf_linf_cm,vbgf_k_per_year,vbgf_t0_year,comet_reference_linf_cm,comet_reference_k_per_year,comet_reference_t0_year,activity_level_px_s,abr_score,dominant_zone
2026-06-15 00:00:00,14,2,3.76,,,JUVENILE,0.376,0.0201,ALIVE,measured,,history,0.4,3.348,4.172,,,,,3.42,2.91,3.94,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-06-15 00:00:00,14,3,2.24,0.4206,0.0,JUVENILE,0.324,0.0126,ALIVE,synthetic_reconstruction,,history,0.1,2.14,2.34,,,,,3.42,2.91,3.94,,,,28.0,0.446287,-0.253937,12.4,0.11,BOT
2026-06-16 00:00:00,15,3,2.24,0.4206,0.0,JUVENILE,0.324,0.0126,ALIVE,synthetic_reconstruction,,history,0.1,2.14,2.34,,,,,,,,,,,,,,10.7,0.15,BOT
2026-06-17 00:00:00,16,3,2.25,0.4247,0.01,JUVENILE,0.325,0.0127,ALIVE,synthetic_reconstruction,,history,0.1,2.15,2.35,,,,,,,,,,,,,,8.6,0.21,BOT
2026-06-18 00:00:00,17,3,2.25,0.4247,0.0,JUVENILE,0.325,0.0127,ALIVE,synthetic_reconstruction,,history,0.1,2.15,2.35,,,,,,,,,,,,,,6.8,0.27,BOT
2026-06-19 00:00:00,18,3,2.25,0.4247,0.0,JUVENILE,0.325,0.0127,DECEASED,synthetic_reconstruction,,deceased,0.1,2.15,2.35,,,,,,,,,,,,,,4.9,0.32,BOT
2026-06-22 00:00:00,21,1,3.87,,,JUVENILE,0.387,0.022,ALIVE,measured,,history,0.4,3.482,4.258,,,,,3.63,3.09,4.18,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-06-22 00:00:00,21,2,4.11,,,JUVENILE,0.411,0.0266,ALIVE,measured,,history,0.4,3.698,4.522,,,,,3.63,3.09,4.18,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-06-29 00:00:00,28,1,4.19,,,JUVENILE,0.419,0.0283,ALIVE,measured,,history,0.4,3.802,4.578,,,,,3.84,3.26,4.42,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-06-29 00:00:00,28,2,4.45,,,JUVENILE,0.445,0.0342,ALIVE,measured,,history,0.4,4.038,4.862,,,,,3.84,3.26,4.42,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-07-06 00:00:00,35,1,4.549,,,JUVENILE,0.4549,0.0366,ALIVE,measured,,history,0.4,4.161,4.937,,,,,4.05,3.44,4.65,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-07-06 00:00:00,35,2,4.831,,,JUVENILE,0.4831,0.0442,ALIVE,measured,,history,0.4,4.419,5.243,,,,,4.05,3.44,4.65,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-07-13 00:00:00,42,1,4.889,,,JUVENILE,0.4889,0.0459,ALIVE,measured,,history,0.4,4.501,5.277,,,,,4.25,3.61,4.89,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-07-13 00:00:00,42,2,5.191,,,JUVENILE,0.5191,0.0554,ALIVE,measured,,history,0.4,4.779,5.603,,,,,4.25,3.61,4.89,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-07-20 00:00:00,49,1,5.238,,,JUVENILE,0.5238,0.057,ALIVE,measured,,history,0.4,4.85,5.626,,,,,4.45,3.78,5.12,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-07-20 00:00:00,49,2,5.562,,,JUVENILE,0.5562,0.0689,ALIVE,measured,,history,0.4,5.15,5.974,,,,,4.45,3.78,5.12,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-07-27 00:00:00,56,1,5.568,,,JUVENILE,0.5568,0.0691,ALIVE,measured,,history,0.45,5.131,6.004,,,,,4.65,3.96,5.35,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-07-27 00:00:00,56,2,5.912,,,JUVENILE,0.5912,0.0834,ALIVE,measured,,history,0.45,5.449,6.376,,,,,4.65,3.96,5.35,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-08-03 00:00:00,63,1,5.907,,,JUVENILE,0.5907,0.0832,ALIVE,measured,,history,0.45,5.471,6.344,,,,,4.85,4.12,5.58,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-08-03 00:00:00,63,2,6.273,,,JUVENILE,0.6273,0.1005,ALIVE,measured,,history,0.45,5.809,6.736,,,,,4.85,4.12,5.58,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-08-10 00:00:00,70,1,6.227,,,JUVENILE,0.6227,0.0982,ALIVE,measured,,history,0.5,5.742,6.712,,,,,5.05,4.29,5.81,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-08-10 00:00:00,70,2,6.613,,,JUVENILE,0.6613,0.1186,ALIVE,measured,,history,0.5,6.098,7.128,,,,,5.05,4.29,5.81,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-08-17 00:00:00,77,1,6.528,,,JUVENILE,0.6528,0.1138,ALIVE,measured,,history,0.5,6.043,7.013,,,,,5.24,4.46,6.03,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-08-17 00:00:00,77,2,6.932,,,JUVENILE,0.6932,0.1375,ALIVE,measured,,history,0.5,6.417,7.447,,,,,5.24,4.46,6.03,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-08-24 00:00:00,84,1,6.809,,,JUVENILE,0.6809,0.13,ALIVE,measured,,history,0.5,6.324,7.294,,,,,5.44,4.62,6.25,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-08-24 00:00:00,84,2,7.231,,,ADULT,0.7231,0.0523,ALIVE,measured,,history,0.5,6.716,7.746,,,,,5.44,4.62,6.25,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-08-31 00:00:00,91,1,7.062,,,ADULT,0.7062,0.0486,ALIVE,measured,,history,0.5,6.577,7.547,,,,,5.63,4.79,6.48,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-08-31 00:00:00,91,2,7.498,,,ADULT,0.7498,0.0586,ALIVE,measured,,history,0.5,6.983,8.013,,,,,5.63,4.79,6.48,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-07 00:00:00,98,1,7.304,,,ADULT,0.7304,0.054,ALIVE,measured,,history,0.5,6.819,7.789,,,,,5.82,4.95,6.69,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-07 00:00:00,98,2,7.756,,,ADULT,0.7756,0.0652,ALIVE,measured,,history,0.5,7.241,8.271,,,,,5.82,4.95,6.69,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-08 00:00:00,99,1,7.353,,,ADULT,0.7353,0.0551,ALIVE,measured,,current_temp,0.3,7.062,7.644,,,,,6.005,5.107,6.902,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-08 00:00:00,99,2,7.807,,,ADULT,0.7807,0.0666,ALIVE,measured,,current_temp,0.3,7.498,8.116,,,,,6.005,5.107,6.902,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-09 00:00:00,100,1,7.401,,,ADULT,0.7401,0.0563,ALIVE,measured,,current_temp,0.3,7.11,7.692,,,,,6.005,5.107,6.902,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-09 00:00:00,100,2,7.859,,,ADULT,0.7859,0.068,ALIVE,measured,,current_temp,0.3,7.55,8.168,,,,,6.005,5.107,6.902,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-10 00:00:00,101,1,7.45,,,ADULT,0.745,0.0575,ALIVE,measured,,current_temp,0.3,7.159,7.741,,,,,6.005,5.107,6.902,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-10 00:00:00,101,2,7.91,,,ADULT,0.791,0.0694,ALIVE,measured,,current_temp,0.3,7.601,8.219,,,,,6.005,5.107,6.902,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-11 00:00:00,102,1,7.508,,,ADULT,0.7508,0.0589,ALIVE,measured,,current_temp,0.3,7.217,7.799,,,,,6.005,5.107,6.902,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-11 00:00:00,102,2,7.972,,,ADULT,0.7972,0.0711,ALIVE,measured,,current_temp,0.3,7.663,8.281,,,,,6.005,5.107,6.902,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-12 00:00:00,103,1,7.556,,,ADULT,0.7556,0.0601,ALIVE,measured,,current_temp,0.3,7.265,7.847,,,,,6.005,5.107,6.902,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-12 00:00:00,103,2,8.024,,,ADULT,0.8024,0.0725,ALIVE,measured,,current_temp,0.3,7.715,8.333,,,,,6.005,5.107,6.902,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-13 00:00:00,104,1,7.605,,,ADULT,0.7605,0.0613,ALIVE,measured,,current_temp,0.3,7.314,7.896,,,,,6.005,5.107,6.902,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-13 00:00:00,104,2,8.075,,,ADULT,0.8075,0.074,ALIVE,measured,,current_temp,0.3,7.766,8.384,,,,,6.005,5.107,6.902,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-14 00:00:00,105,1,7.653,,,ADULT,0.7653,0.0625,ALIVE,measured,,current_anchor,0.3,7.362,7.944,7.653,0.3,7.362,7.944,6.005,5.107,6.902,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-14 00:00:00,105,2,8.127,,,ADULT,0.8127,0.0755,ALIVE,measured,,current_anchor,0.3,7.818,8.436,8.127,0.3,7.818,8.436,6.005,5.107,6.902,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-15 00:00:00,106,1,7.702,,,ADULT,0.7702,0.0638,ALIVE,measured,,current_temp,0.3,7.411,7.993,,,,,6.005,5.107,6.902,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-15 00:00:00,106,2,8.178,,,ADULT,0.8178,0.077,ALIVE,measured,,current_temp,0.3,7.869,8.487,,,,,6.005,5.107,6.902,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-16 00:00:00,107,1,,,,ADULT,0.7692,0.0635,ALIVE,measured,,prediction,,,,7.692,0.3,7.401,7.993,6.06,5.15,6.97,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-16 00:00:00,107,2,,,,ADULT,0.8168,0.0767,ALIVE,measured,,prediction,,,,8.168,0.3,7.859,8.487,6.06,5.15,6.97,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-23 00:00:00,114,1,,,,ADULT,0.7964,0.0708,ALIVE,measured,,prediction,,,,7.964,0.31,7.663,8.264,6.25,5.31,7.19,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-23 00:00:00,114,2,,,,ADULT,0.8456,0.0855,ALIVE,measured,,prediction,,,,8.456,0.31,8.137,8.776,6.25,5.31,7.19,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-30 00:00:00,121,1,,,,ADULT,0.8226,0.0784,ALIVE,measured,,prediction,,,,8.226,0.31,7.925,8.536,6.44,5.47,7.4,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-09-30 00:00:00,121,2,,,,ADULT,0.8734,0.0947,ALIVE,measured,,prediction,,,,8.734,0.31,8.415,9.064,6.44,5.47,7.4,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-10-07 00:00:00,128,1,,,,ADULT,0.8487,0.0865,ALIVE,measured,,prediction,,,,8.487,0.32,8.177,8.798,6.62,5.63,7.61,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-10-07 00:00:00,128,2,,,,ADULT,0.9013,0.1045,ALIVE,measured,,prediction,,,,9.013,0.32,8.683,9.342,6.62,5.63,7.61,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-10-14 00:00:00,135,1,,,,ADULT,0.8749,0.0952,ALIVE,measured,,prediction,,,,8.749,0.32,8.429,9.06,6.8,5.78,7.82,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-10-14 00:00:00,135,2,,,,ADULT,0.9291,0.1149,ALIVE,measured,,prediction,,,,9.291,0.32,8.951,9.62,6.8,5.78,7.82,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-10-21 00:00:00,142,1,,,,ADULT,0.9002,0.1041,ALIVE,measured,,prediction,,,,9.002,0.33,8.682,9.322,6.98,5.93,8.03,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-10-21 00:00:00,142,2,,,,ADULT,0.9558,0.1256,ALIVE,measured,,prediction,,,,9.558,0.33,9.218,9.898,6.98,5.93,8.03,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-10-28 00:00:00,149,1,,,,ADULT,0.9244,0.1131,ALIVE,measured,,prediction,,,,9.244,0.33,8.924,9.574,7.16,6.09,8.24,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-10-28 00:00:00,149,2,,,,ADULT,0.9816,0.1366,ALIVE,measured,,prediction,,,,9.816,0.33,9.476,10.166,7.16,6.09,8.24,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-11-04 00:00:00,156,1,,,,ADULT,0.9496,0.1231,ALIVE,measured,,prediction,,,,9.496,0.34,9.166,9.826,7.34,6.24,8.44,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-11-04 00:00:00,156,2,,,,ADULT,1.0084,0.1487,ALIVE,measured,,prediction,,,,10.084,0.34,9.734,10.434,7.34,6.24,8.44,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-11-11 00:00:00,163,1,,,,ADULT,0.9739,0.1333,ALIVE,measured,,prediction,,,,9.739,0.34,9.399,10.069,7.51,6.39,8.64,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-11-11 00:00:00,163,2,,,,ADULT,1.0341,0.1609,ALIVE,measured,,prediction,,,,10.341,0.34,9.981,10.691,7.51,6.39,8.64,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-11-18 00:00:00,170,1,,,,ADULT,0.9972,0.1435,ALIVE,measured,,prediction,,,,9.972,0.35,9.632,10.311,7.69,6.54,8.84,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-11-18 00:00:00,170,2,,,,ADULT,1.0588,0.1733,ALIVE,measured,,prediction,,,,10.588,0.35,10.228,10.949,7.69,6.54,8.84,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-11-25 00:00:00,177,1,,,,ADULT,1.0204,0.1543,ALIVE,measured,,prediction,,,,10.204,0.35,9.865,10.544,7.86,6.68,9.04,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-11-25 00:00:00,177,2,,,,ADULT,1.0836,0.1863,ALIVE,measured,,prediction,,,,10.836,0.35,10.475,11.196,7.86,6.68,9.04,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-12-02 00:00:00,184,1,,,,ADULT,1.0437,0.1656,ALIVE,measured,,prediction,,,,10.437,0.36,10.088,10.777,8.03,6.83,9.24,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-12-02 00:00:00,184,2,,,,ADULT,1.1083,0.2,ALIVE,measured,,prediction,,,,11.083,0.36,10.712,11.443,8.03,6.83,9.24,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-12-09 00:00:00,191,1,,,,ADULT,1.066,0.177,ALIVE,measured,,prediction,,,,10.66,0.36,10.311,11.01,8.2,6.97,9.43,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-12-09 00:00:00,191,2,,,,ADULT,1.132,0.2137,ALIVE,measured,,prediction,,,,11.32,0.36,10.949,11.69,8.2,6.97,9.43,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-12-16 00:00:00,198,1,,,,ADULT,1.0883,0.1889,ALIVE,measured,,prediction,,,,10.883,0.37,10.524,11.233,8.37,7.12,9.63,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-12-16 00:00:00,198,2,,,,ADULT,1.1557,0.2281,ALIVE,measured,,prediction,,,,11.557,0.37,11.176,11.927,8.37,7.12,9.63,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-12-23 00:00:00,205,1,,,,ADULT,1.1097,0.2008,ALIVE,measured,,prediction,,,,11.097,0.37,10.738,11.456,8.54,7.26,9.82,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-12-23 00:00:00,205,2,,,,ADULT,1.1783,0.2424,ALIVE,measured,,prediction,,,,11.783,0.37,11.402,12.164,8.54,7.26,9.82,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-12-30 00:00:00,212,1,,,,ADULT,1.131,0.2131,ALIVE,measured,,prediction,,,,11.31,0.38,10.951,11.679,8.71,7.4,10.01,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2026-12-30 00:00:00,212,2,,,,ADULT,1.201,0.2574,ALIVE,measured,,prediction,,,,12.01,0.38,11.629,12.401,8.71,7.4,10.01,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-01-06 00:00:00,219,1,,,,ADULT,1.1524,0.2261,ALIVE,measured,,prediction,,,,11.524,0.38,11.155,11.892,8.87,7.54,10.2,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-01-06 00:00:00,219,2,,,,ADULT,1.2236,0.2729,ALIVE,measured,,prediction,,,,12.236,0.38,11.845,12.628,8.87,7.54,10.2,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-01-13 00:00:00,226,1,,,,ADULT,1.1727,0.2388,ALIVE,measured,,prediction,,,,11.727,0.39,11.359,12.106,9.03,7.68,10.39,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-01-13 00:00:00,226,2,,,,ADULT,1.2453,0.2884,ALIVE,measured,,prediction,,,,12.453,0.39,12.061,12.854,9.03,7.68,10.39,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-01-20 00:00:00,233,1,,,,ADULT,1.1941,0.2527,ALIVE,measured,,prediction,,,,11.941,0.39,11.553,12.319,9.19,7.81,10.57,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-01-20 00:00:00,233,2,,,,ADULT,1.2679,0.3051,ALIVE,measured,,prediction,,,,12.679,0.39,12.267,13.081,9.19,7.81,10.57,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-01-27 00:00:00,240,1,,,,ADULT,1.2135,0.2659,ALIVE,measured,,prediction,,,,12.135,0.4,11.756,12.523,9.35,7.95,10.76,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-01-27 00:00:00,240,2,,,,ADULT,1.2885,0.321,ALIVE,measured,,prediction,,,,12.885,0.4,12.484,13.297,9.35,7.95,10.76,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-02-03 00:00:00,247,1,,,,ADULT,1.2338,0.2801,ALIVE,measured,,prediction,,,,12.338,0.4,11.95,12.726,9.51,8.09,10.94,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-02-03 00:00:00,247,2,,,,ADULT,1.3102,0.3382,ALIVE,measured,,prediction,,,,13.102,0.4,12.69,13.514,9.51,8.09,10.94,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-02-10 00:00:00,254,1,,,,ADULT,1.2532,0.2941,ALIVE,measured,,prediction,,,,12.532,0.41,12.135,12.92,9.67,8.22,11.12,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-02-10 00:00:00,254,2,,,,ADULT,1.3308,0.3552,ALIVE,measured,,prediction,,,,13.308,0.41,12.885,13.72,9.67,8.22,11.12,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-02-17 00:00:00,261,1,,,,ADULT,1.2717,0.308,ALIVE,measured,,prediction,,,,12.717,0.41,12.319,13.114,9.83,8.35,11.3,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-02-17 00:00:00,261,2,,,,ADULT,1.3503,0.3718,ALIVE,measured,,prediction,,,,13.503,0.41,13.081,13.926,9.83,8.35,11.3,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-02-24 00:00:00,268,1,,,,ADULT,1.2911,0.323,ALIVE,measured,,prediction,,,,12.911,0.41,12.503,13.308,9.98,8.48,11.48,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-02-24 00:00:00,268,2,,,,ADULT,1.3709,0.3899,ALIVE,measured,,prediction,,,,13.709,0.41,13.277,14.132,9.98,8.48,11.48,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-03-03 00:00:00,275,1,,,,ADULT,1.3095,0.3377,ALIVE,measured,,prediction,,,,13.095,0.42,12.688,13.502,10.13,8.61,11.66,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-03-03 00:00:00,275,2,,,,ADULT,1.3905,0.4077,ALIVE,measured,,prediction,,,,13.905,0.42,13.472,14.338,10.13,8.61,11.66,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-03-10 00:00:00,282,1,,,,ADULT,1.3279,0.3528,ALIVE,measured,,prediction,,,,13.279,0.42,12.862,13.687,10.29,8.74,11.83,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-03-10 00:00:00,282,2,,,,ADULT,1.4101,0.426,ALIVE,measured,,prediction,,,,14.101,0.42,13.658,14.533,10.29,8.74,11.83,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-03-17 00:00:00,289,1,,,,ADULT,1.3454,0.3676,ALIVE,measured,,prediction,,,,13.454,0.43,13.037,13.871,10.44,8.87,12.0,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-03-17 00:00:00,289,2,,,,ADULT,1.4286,0.4438,ALIVE,measured,,prediction,,,,14.286,0.43,13.843,14.729,10.44,8.87,12.0,25.75,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
2027-03-24 00:00:00,296,1,,,,ADULT,1.3628,0.3827,ALIVE,measured,,prediction,,,,13.628,0.43,13.211,14.055,10.59,9.0,12.18,24.25,0.858371,-0.151576,28.0,0.446287,-0.253937,,,
