date,weeks_since_2026_06_01,months_since_start,phase,observed_average_length_cm,observed_error_cm,observed_lower_cm,observed_upper_cm,observed_data_type,vbgf_predicted_length_cm,vbgf_prediction_error_cm,vbgf_prediction_lower_cm,vbgf_prediction_upper_cm,comet_reference_length_cm,comet_reference_lower_cm,comet_reference_upper_cm,vbgf_linf_cm,vbgf_k_per_year,vbgf_t0_year,comet_reference_linf_cm,comet_reference_k_per_year,comet_reference_t0_year,reference_profile_type,note
2026-08-10,10.0,2.3,history,6.42,0.5,5.92,6.92,synthetic_backfill,,,,,5.05,4.29,5.81,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
2026-08-17,11.0,2.53,history,6.73,0.5,6.23,7.23,synthetic_backfill,,,,,5.24,4.46,6.03,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
2026-08-24,12.0,2.76,history,7.02,0.5,6.52,7.52,synthetic_backfill,,,,,5.44,4.62,6.25,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
2026-08-31,13.0,2.99,history,7.28,0.5,6.78,7.78,synthetic_backfill,,,,,5.63,4.79,6.48,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
2026-09-07,14.0,3.22,history,7.53,0.5,7.03,8.03,synthetic_backfill,,,,,5.82,4.95,6.69,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Historical estimate/current anchor from goldfish_growth_weekly_ratio_cm_v2.csv.
2026-09-08,14.143,3.252,current_temp,7.58,0.3,7.28,7.88,daily_current_estimate,,,,,6.005,5.107,6.902,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Temporary current-day growth estimate. Display only when this date is today; do not keep as weekly history.
2026-09-09,14.286,3.285,current_temp,7.63,0.3,7.33,7.93,daily_current_estimate,,,,,6.005,5.107,6.902,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Temporary current-day growth estimate. Display only when this date is today; do not keep as weekly history.
2026-09-10,14.429,3.318,current_temp,7.68,0.3,7.38,7.98,daily_current_estimate,,,,,6.005,5.107,6.902,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Temporary current-day growth estimate. Display only when this date is today; do not keep as weekly history.
2026-09-11,14.571,3.351,current_temp,7.74,0.3,7.44,8.04,daily_current_estimate,,,,,6.005,5.107,6.902,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Temporary current-day growth estimate. Display only when this date is today; do not keep as weekly history.
2026-09-12,14.714,3.384,current_temp,7.79,0.3,7.49,8.09,daily_current_estimate,,,,,6.005,5.107,6.902,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Temporary current-day growth estimate. Display only when this date is today; do not keep as weekly history.
2026-09-13,14.857,3.417,current_temp,7.84,0.3,7.54,8.14,daily_current_estimate,,,,,6.005,5.107,6.902,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Temporary current-day growth estimate. Display only when this date is today; do not keep as weekly history.
2026-09-14,15.0,3.45,current_anchor,7.89,0.3,7.59,8.19,weekly_measurement,7.89,0.3,7.59,8.19,6.005,5.107,6.902,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Weekly growth measurement recorded on 2026-09-14.
2026-09-15,15.143,3.482,current_temp,7.94,0.30,7.64,8.24,daily_current_estimate,,,,,6.005,5.107,6.902,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,Temporary current-day growth estimate for 2026-09-15. Display only when this date is today; do not keep as weekly history.
2026-09-16,15.286,3.515,prediction,,,,,model_prediction,7.93,0.3,7.63,8.24,6.06,5.15,6.97,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-09-23,16.286,3.745,prediction,,,,,model_prediction,8.21,0.31,7.9,8.52,6.25,5.31,7.19,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-09-30,17.286,3.975,prediction,,,,,model_prediction,8.48,0.31,8.17,8.8,6.44,5.47,7.4,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-10-07,18.286,4.205,prediction,,,,,model_prediction,8.75,0.32,8.43,9.07,6.62,5.63,7.61,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-10-14,19.286,4.435,prediction,,,,,model_prediction,9.02,0.32,8.69,9.34,6.8,5.78,7.82,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-10-21,20.286,4.665,prediction,,,,,model_prediction,9.28,0.33,8.95,9.61,6.98,5.93,8.03,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-10-28,21.286,4.895,prediction,,,,,model_prediction,9.53,0.33,9.2,9.87,7.16,6.09,8.24,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-11-04,22.286,5.125,prediction,,,,,model_prediction,9.79,0.34,9.45,10.13,7.34,6.24,8.44,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-11-11,23.286,5.355,prediction,,,,,model_prediction,10.04,0.34,9.69,10.38,7.51,6.39,8.64,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-11-18,24.286,5.585,prediction,,,,,model_prediction,10.28,0.35,9.93,10.63,7.69,6.54,8.84,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-11-25,25.286,5.815,prediction,,,,,model_prediction,10.52,0.35,10.17,10.87,7.86,6.68,9.04,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-12-02,26.286,6.045,prediction,,,,,model_prediction,10.76,0.36,10.4,11.11,8.03,6.83,9.24,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-12-09,27.286,6.275,prediction,,,,,model_prediction,10.99,0.36,10.63,11.35,8.2,6.97,9.43,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-12-16,28.286,6.505,prediction,,,,,model_prediction,11.22,0.37,10.85,11.58,8.37,7.12,9.63,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-12-23,29.286,6.735,prediction,,,,,model_prediction,11.44,0.37,11.07,11.81,8.54,7.26,9.82,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2026-12-30,30.286,6.965,prediction,,,,,model_prediction,11.66,0.38,11.29,12.04,8.71,7.4,10.01,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-01-06,31.286,7.195,prediction,,,,,model_prediction,11.88,0.38,11.5,12.26,8.87,7.54,10.2,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-01-13,32.286,7.425,prediction,,,,,model_prediction,12.09,0.39,11.71,12.48,9.03,7.68,10.39,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-01-20,33.286,7.655,prediction,,,,,model_prediction,12.31,0.39,11.91,12.7,9.19,7.81,10.57,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-01-27,34.286,7.885,prediction,,,,,model_prediction,12.51,0.4,12.12,12.91,9.35,7.95,10.76,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-02-03,35.286,8.115,prediction,,,,,model_prediction,12.72,0.4,12.32,13.12,9.51,8.09,10.94,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-02-10,36.286,8.345,prediction,,,,,model_prediction,12.92,0.41,12.51,13.32,9.67,8.22,11.12,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-02-17,37.286,8.575,prediction,,,,,model_prediction,13.11,0.41,12.7,13.52,9.83,8.35,11.3,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-02-24,38.286,8.805,prediction,,,,,model_prediction,13.31,0.41,12.89,13.72,9.98,8.48,11.48,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-03-03,39.286,9.035,prediction,,,,,model_prediction,13.5,0.42,13.08,13.92,10.13,8.61,11.66,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-03-10,40.286,9.265,prediction,,,,,model_prediction,13.69,0.42,13.26,14.11,10.29,8.74,11.83,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-03-17,41.286,9.495,prediction,,,,,model_prediction,13.87,0.43,13.44,14.3,10.44,8.87,12.0,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-03-24,42.286,9.725,prediction,,,,,model_prediction,14.05,0.43,13.62,14.49,10.59,9.0,12.18,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-03-31,43.286,9.955,prediction,,,,,model_prediction,14.23,0.44,13.79,14.67,10.74,9.13,12.35,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-04-07,44.286,10.185,prediction,,,,,model_prediction,14.41,0.44,13.96,14.85,10.88,9.25,12.52,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-04-14,45.286,10.415,prediction,,,,,model_prediction,14.58,0.45,14.13,15.03,11.03,9.37,12.68,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-04-21,46.286,10.645,prediction,,,,,model_prediction,14.75,0.45,14.3,15.2,11.17,9.5,12.85,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-04-28,47.286,10.875,prediction,,,,,model_prediction,14.92,0.46,14.46,15.37,11.32,9.62,13.01,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-05-05,48.286,11.105,prediction,,,,,model_prediction,15.08,0.46,14.62,15.54,11.46,9.74,13.18,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-05-12,49.286,11.335,prediction,,,,,model_prediction,15.24,0.47,14.78,15.71,11.6,9.86,13.34,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-05-19,50.286,11.565,prediction,,,,,model_prediction,15.4,0.47,14.93,15.87,11.74,9.98,13.5,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-05-26,51.286,11.795,prediction,,,,,model_prediction,15.56,0.48,15.08,16.04,11.88,10.1,13.66,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-06-02,52.286,12.025,prediction,,,,,model_prediction,15.71,0.48,15.23,16.2,12.01,10.21,13.82,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-06-09,53.286,12.255,prediction,,,,,model_prediction,15.86,0.49,15.38,16.35,12.15,10.33,13.97,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-06-16,54.286,12.485,prediction,,,,,model_prediction,16.01,0.49,15.52,16.51,12.29,10.44,14.13,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-06-23,55.286,12.715,prediction,,,,,model_prediction,16.16,0.5,15.66,16.66,12.42,10.56,14.28,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-06-30,56.286,12.945,prediction,,,,,model_prediction,16.3,0.5,15.8,16.81,12.55,10.67,14.44,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-07-07,57.286,13.175,prediction,,,,,model_prediction,16.45,0.51,15.94,16.95,12.68,10.78,14.59,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-07-14,58.286,13.405,prediction,,,,,model_prediction,16.59,0.51,16.08,17.1,12.81,10.89,14.74,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-07-21,59.286,13.635,prediction,,,,,model_prediction,16.72,0.52,16.21,17.24,12.94,11.0,14.89,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-07-28,60.286,13.865,prediction,,,,,model_prediction,16.86,0.52,16.34,17.38,13.07,11.11,15.03,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-08-04,61.286,14.095,prediction,,,,,model_prediction,16.99,0.53,16.47,17.52,13.2,11.22,15.18,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-08-11,62.286,14.325,prediction,,,,,model_prediction,17.12,0.53,16.59,17.65,13.33,11.33,15.32,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-08-18,63.286,14.555,prediction,,,,,model_prediction,17.25,0.53,16.72,17.79,13.45,11.43,15.47,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-08-25,64.286,14.785,prediction,,,,,model_prediction,17.38,0.54,16.84,17.92,13.57,11.54,15.61,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-09-01,65.286,15.015,prediction,,,,,model_prediction,17.5,0.54,16.96,18.05,13.7,11.64,15.75,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-09-08,66.286,15.245,prediction,,,,,model_prediction,17.62,0.55,17.07,18.17,13.82,11.75,15.89,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-09-15,67.286,15.475,prediction,,,,,model_prediction,17.74,0.55,17.19,18.3,13.94,11.85,16.03,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-09-22,68.286,15.705,prediction,,,,,model_prediction,17.86,0.56,17.3,18.42,14.06,11.95,16.17,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-09-29,69.286,15.935,prediction,,,,,model_prediction,17.98,0.56,17.42,18.54,14.18,12.05,16.3,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-10-06,70.286,16.165,prediction,,,,,model_prediction,18.09,0.57,17.52,18.66,14.3,12.15,16.44,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-10-13,71.286,16.395,prediction,,,,,model_prediction,18.21,0.57,17.63,18.78,14.41,12.25,16.57,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-10-20,72.286,16.625,prediction,,,,,model_prediction,18.32,0.58,17.74,18.89,14.53,12.35,16.71,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-10-27,73.286,16.855,prediction,,,,,model_prediction,18.43,0.58,17.84,19.01,14.64,12.45,16.84,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-11-03,74.286,17.085,prediction,,,,,model_prediction,18.53,0.59,17.95,19.12,14.76,12.54,16.97,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-11-10,75.286,17.315,prediction,,,,,model_prediction,18.64,0.59,18.05,19.23,14.87,12.64,17.1,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-11-17,76.286,17.545,prediction,,,,,model_prediction,18.74,0.6,18.15,19.34,14.98,12.73,17.23,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-11-24,77.286,17.774,prediction,,,,,model_prediction,18.84,0.6,18.24,19.45,15.09,12.83,17.36,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-12-01,78.286,18.004,prediction,,,,,model_prediction,18.94,0.61,18.34,19.55,15.2,12.92,17.48,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-12-08,79.286,18.234,prediction,,,,,model_prediction,19.04,0.61,18.43,19.66,15.31,13.01,17.61,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-12-15,80.286,18.464,prediction,,,,,model_prediction,19.14,0.62,18.52,19.76,15.42,13.11,17.73,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-12-22,81.286,18.694,prediction,,,,,model_prediction,19.24,0.62,18.62,19.86,15.53,13.2,17.86,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2027-12-29,82.286,18.924,prediction,,,,,model_prediction,19.33,0.63,18.7,19.96,15.63,13.29,17.98,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2028-01-05,83.286,19.154,prediction,,,,,model_prediction,19.42,0.63,18.79,20.05,15.74,13.38,18.1,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2028-01-12,84.286,19.384,prediction,,,,,model_prediction,19.51,0.64,18.88,20.15,15.84,13.47,18.22,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2028-01-19,85.286,19.614,prediction,,,,,model_prediction,19.6,0.64,18.96,20.24,15.95,13.55,18.34,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2028-01-26,86.286,19.844,prediction,,,,,model_prediction,19.69,0.64,19.05,20.34,16.05,13.64,18.46,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2028-02-02,87.286,20.074,prediction,,,,,model_prediction,19.78,0.65,19.13,20.43,16.15,13.73,18.57,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2028-02-09,88.286,20.304,prediction,,,,,model_prediction,19.86,0.65,19.21,20.52,16.25,13.81,18.69,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2028-02-16,89.286,20.534,prediction,,,,,model_prediction,19.95,0.66,19.29,20.61,16.35,13.9,18.8,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
2028-02-23,90.286,20.764,prediction,,,,,model_prediction,20.03,0.66,19.37,20.69,16.45,13.98,18.92,25.0,0.858371,-0.151576,28.0,0.446287,-0.253937,project_comet_reference_profile,"Future user-fish value is vBGF prediction; comet reference is a comparison profile, not an official standard average."
