date,row_type,hour,top_pct,mid_pct,bot_pct,zone,latest_avg_pct,description
2026-09-09,hourly,19,0.1,92.9,7.0,,,
2026-09-09,hourly,20,0.9,94.2,4.9,,,
2026-09-09,hourly,21,0.6,91.7,7.7,,,
2026-09-09,hourly,22,1.2,89.9,8.9,,,
2026-09-09,hourly,23,0.6,91.6,7.8,,,
2026-09-10,hourly,0,1.6,89.9,8.5,,,
2026-09-10,hourly,1,1.9,85.7,12.4,,,
2026-09-10,hourly,2,1.6,84.2,14.2,,,
2026-09-10,hourly,3,1.2,88.6,10.2,,,
2026-09-10,hourly,4,1.0,90.4,8.6,,,
2026-09-10,hourly,5,0.5,86.9,12.6,,,
2026-09-10,hourly,6,1.0,90.1,8.9,,,
2026-09-10,hourly,7,0.8,89.1,10.1,,,
2026-09-10,hourly,8,0.8,89.9,9.3,,,
2026-09-10,hourly,9,0.1,77.3,22.6,,,
2026-09-10,hourly,10,0.1,66.5,33.4,,,
2026-09-10,hourly,11,0.1,67.3,32.6,,,
2026-09-10,hourly,12,0.9,60.1,39.0,,,
2026-09-10,hourly,13,1.3,61.5,37.2,,,
2026-09-10,hourly,14,0.9,66.1,33.0,,,
2026-09-10,hourly,15,0.6,67.5,31.9,,,
2026-09-10,hourly,16,1.2,84.7,14.1,,,
2026-09-10,hourly,17,1.8,90.1,8.1,,,
2026-09-10,hourly,18,0.4,93.3,6.3,,,
2026-09-10,hourly,19,0.7,92.4,6.9,,,
2026-09-10,hourly,20,1.0,89.5,9.5,,,
2026-09-10,hourly,21,1.1,89.1,9.8,,,
2026-09-10,hourly,22,1.1,88.8,10.1,,,
2026-09-10,hourly,23,0.3,92.4,7.3,,,
2026-09-11,hourly,0,1.7,87.2,11.1,,,
2026-09-11,hourly,1,2.1,87.6,10.3,,,
2026-09-11,hourly,2,2.0,85.6,12.4,,,
2026-09-11,hourly,3,1.1,87.0,11.9,,,
2026-09-11,hourly,4,0.8,89.1,10.1,,,
2026-09-11,hourly,5,1.1,86.4,12.5,,,
2026-09-11,hourly,6,0.8,90.7,8.5,,,
2026-09-11,hourly,7,0.4,90.7,8.9,,,
2026-09-11,hourly,8,0.2,90.0,9.8,,,
2026-09-11,hourly,9,0.6,75.4,24.0,,,
2026-09-11,hourly,10,0.4,64.0,35.6,,,
2026-09-11,hourly,11,0.1,64.0,35.9,,,
2026-09-11,hourly,12,1.0,63.8,35.2,,,
2026-09-11,hourly,13,1.4,62.7,35.9,,,
2026-09-11,hourly,14,0.4,68.2,31.4,,,
2026-09-11,hourly,15,0.9,65.8,33.3,,,
2026-09-11,hourly,16,0.9,86.7,12.4,,,
2026-09-11,hourly,17,2.1,89.8,8.1,,,
2026-09-11,hourly,18,0.5,94.7,4.8,,,
2026-09-11,hourly,19,0.6,92.3,7.1,,,
2026-09-11,hourly,20,0.9,91.1,8.0,,,
2026-09-11,hourly,21,0.9,86.9,12.2,,,
2026-09-11,hourly,22,0.8,89.2,10.0,,,
2026-09-11,hourly,23,0.4,92.5,7.1,,,
2026-09-12,hourly,0,1.5,89.1,9.4,,,
2026-09-12,hourly,1,1.9,86.3,11.8,,,
2026-09-12,hourly,2,1.7,87.9,10.4,,,
2026-09-12,hourly,3,1.0,86.1,12.9,,,
2026-09-12,hourly,4,0.9,89.5,9.6,,,
2026-09-12,hourly,5,1.0,87.6,11.4,,,
2026-09-12,hourly,6,0.5,88.3,11.2,,,
2026-09-12,hourly,7,0.9,89.1,10.0,,,
2026-09-12,hourly,8,0.2,91.6,8.2,,,
2026-09-12,hourly,9,0.4,77.2,22.4,,,
2026-09-12,hourly,10,0.1,67.6,32.3,,,
2026-09-12,hourly,11,0.1,65.9,34.0,,,
2026-09-12,hourly,12,0.6,62.1,37.3,,,
2026-09-12,hourly,13,1.1,62.0,36.9,,,
2026-09-12,hourly,14,0.3,65.2,34.5,,,
2026-09-12,hourly,15,1.1,63.6,35.3,,,
2026-09-12,hourly,16,1.3,82.2,16.5,,,
2026-09-12,hourly,17,1.9,91.7,6.4,,,
2026-09-12,hourly,18,0.8,95.2,4.0,,,
2026-09-12,hourly,19,0.2,91.4,8.4,,,
2026-09-12,hourly,20,0.8,89.2,10.0,,,
2026-09-12,hourly,21,1.2,89.0,9.8,,,
2026-09-12,hourly,22,1.4,87.2,11.4,,,
2026-09-12,hourly,23,1.0,89.9,9.1,,,
2026-09-13,hourly,0,1.2,87.3,11.5,,,
2026-09-13,hourly,1,1.5,85.2,13.3,,,
2026-09-13,hourly,2,1.6,87.8,10.6,,,
2026-09-13,hourly,3,1.6,86.8,11.6,,,
2026-09-13,hourly,4,1.2,90.8,8.0,,,
2026-09-13,hourly,5,0.7,89.4,9.9,,,
2026-09-13,hourly,6,1.1,87.3,11.6,,,
2026-09-13,hourly,7,0.7,90.8,8.5,,,
2026-09-13,hourly,8,0.1,90.8,9.1,,,
2026-09-13,hourly,9,0.1,77.1,22.8,,,
2026-09-13,hourly,10,0.4,63.2,36.4,,,
2026-09-13,hourly,11,0.2,65.1,34.7,,,
2026-09-13,hourly,12,0.5,61.1,38.4,,,
2026-09-13,hourly,13,0.9,61.9,37.2,,,
2026-09-13,hourly,14,0.3,68.3,31.4,,,
2026-09-13,hourly,15,0.5,66.6,32.9,,,
2026-09-13,hourly,16,0.9,83.9,15.2,,,
2026-09-13,hourly,17,1.9,91.6,6.5,,,
2026-09-13,hourly,18,0.2,95.9,3.9,,,
2026-09-13,hourly,19,0.2,93.4,6.4,,,
2026-09-13,hourly,20,0.4,90.3,9.3,,,
2026-09-13,hourly,21,0.8,87.3,11.9,,,
2026-09-13,hourly,22,0.7,89.8,9.5,,,
2026-09-13,hourly,23,1.0,90.1,8.9,,,
2026-09-14,hourly,0,1.2,89.7,9.1,,,
2026-09-14,hourly,1,2.1,87.1,10.8,,,
2026-09-14,hourly,2,1.7,88.1,10.2,,,
2026-09-14,hourly,3,1.2,86.9,11.9,,,
2026-09-14,hourly,4,1.2,90.6,8.2,,,
2026-09-14,hourly,5,0.4,86.3,13.3,,,
2026-09-14,hourly,6,0.7,91.3,8.0,,,
2026-09-14,hourly,7,0.4,88.4,11.2,,,
2026-09-14,hourly,8,0.5,90.9,8.6,,,
2026-09-14,hourly,9,0.4,77.1,22.5,,,
2026-09-14,hourly,10,0.1,65.3,34.6,,,
2026-09-14,hourly,11,0.1,68.1,31.8,,,
2026-09-14,hourly,12,0.4,63.4,36.2,,,
2026-09-14,hourly,13,1.2,60.5,38.3,,,
2026-09-14,hourly,14,0.8,64.6,34.6,,,
2026-09-14,hourly,15,0.8,63.9,35.3,,,
2026-09-14,hourly,16,1.1,84.5,14.4,,,
2026-09-14,hourly,17,1.7,91.3,7.0,,,
2026-09-14,hourly,18,0.4,91.9,7.7,,,
2026-09-14,hourly,19,0.7,92.2,7.1,,,
2026-09-14,hourly,20,1.2,92.3,6.5,,,
2026-09-14,hourly,21,0.9,87.5,11.6,,,
2026-09-14,hourly,22,0.8,87.1,12.1,,,
2026-09-14,hourly,23,0.9,90.6,8.5,,,
2026-09-15,hourly,0,1.2,91.1,7.7,,,
2026-09-15,hourly,1,2.0,87.2,10.8,,,
2026-09-15,hourly,2,1.6,87.2,11.2,,,
2026-09-15,hourly,3,1.5,88.8,9.7,,,
2026-09-15,hourly,4,1.2,89.8,9.0,,,
2026-09-15,hourly,5,0.8,89.3,9.9,,,
2026-09-15,hourly,6,0.7,90.0,9.3,,,
2026-09-15,hourly,7,0.3,88.1,11.6,,,
2026-09-15,hourly,8,0.4,91.2,8.4,,,
2026-09-15,hourly,9,0.5,77.0,22.5,,,
2026-09-15,hourly,10,0.2,65.9,33.9,,,
2026-09-15,hourly,11,0.1,65.0,34.9,,,
2026-09-15,hourly,12,0.5,62.2,37.3,,,
2026-09-15,hourly,13,1.5,63.2,35.3,,,
2026-09-15,hourly,14,0.9,66.6,32.5,,,
2026-09-15,hourly,15,1.1,62.1,36.8,,,
2026-09-15,hourly,16,1.3,84.4,14.3,,,
2026-09-15,hourly,17,1.8,89.5,8.7,,,
2026-09-15,hourly,18,0.7,92.8,6.5,,,
2026-09-15,hourly,19,0.7,90.8,8.5,,,
2026-09-15,hourly,20,1.1,90.1,8.8,,,
2026-09-15,hourly,21,1.1,88.5,10.4,,,
2026-09-15,hourly,22,0.7,87.8,11.5,,,
2026-09-15,hourly,23,0.5,91.7,7.8,,,
